gauge_id;gauge;leitercharackter_huek250;hohlraumart_huek250;durchlässigkeit_huek250;dominating_soil_type_bk500;gesteinsart_huek250;soil_texture_boart_1000;land_use_corine;bodenausgangsgesteine_bag5000;bodengrosslandschaft_bgl5000;area_m2_watershed;nFK_1m_FKD10dm_1000;grundwasserneubildung_gwn_1000;sickerwasserrate_mean_swr_1000;greundigkeit_physgru_1000;slope_mean_dem_40;height_mean_dem_40;height_min;height_max;elongation_ratio;height_difference;et_mean;dis_mean;prec_mean;runoff_ratio
24783450;Gelnhausen;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Loesse und Loessderivate;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;673245560.9;205.6917421;161.6062826;472.21698560000004;9.541140248;6.9691498979999995;333.9976062;128.6139984;719.2719727000001;0.5538177018410052;590.6579743000001;537.4288216732225;379.7117349845716;916.8436325149369;0.4141510302503906
25822251;Gemuenden;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;102180357.1;197.88999130000002;86.48175099;322.5741797;9.607333333;7.2665372260000005;368.42258189999995;242.8430023;653.9539795;0.7207283835647655;411.1109772;500.89433163762226;243.45388283747047;744.348214475093;0.32706988221789685
24860754;Glauberg;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Wood;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;153986007.3;192.5436017;162.7768209;457.17744910000005;7.281924882999999;5.94316221;332.2140036;123.45200349999999;770.7059937000001;0.39392560510592695;647.2539902000001;500.4415610103198;367.80926615308863;870.9306213307655;0.422317526958787
24761005;Gross-Bieberau 2;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Wood;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;35556338.91;208.5382119;134.1003178;430.9810651000001;8.557803468;8.877438227999999;287.2890437;164.3339996;591.1599731000001;0.6312030733228187;426.82597350000015;618.3041718113329;272.7916045408495;891.0957763521823;0.3061305100755362
41450056;Guenthers;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Eutric Cambisols / Stagnic Gleysols;Sediment;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;183039745.6;213.8457549;192.5677016;525.2621603;6.148274477999999;8.12100368;591.6621455;335.8729858;945.9279785;0.5352573330003378;610.0549927;518.4393710620823;455.68886823390403;974.193131295986;0.46776029679832914
42881100;Gungelshausen;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Tonschluffe (tu);Grassland;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;113893924.4;286.59573639999996;122.487298;289.0898024;15.71009674;4.006811037;329.5965393;220.61999509999998;512.7890014999999;0.32740861875801397;292.16900639999994;494.44180315095355;241.69050508444596;736.1323082353996;0.3283248165860402
25840253;Haiger;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";63082970.3;122.70880179999999;154.0801229;607.4356665;4.995505618;9.418367131;425.5463999;263.37799069999994;608.7910156;0.6014978121557517;345.4130249000001;570.2091744996321;438.5904465612286;1011.3837074644316;0.43365385790204947
25822808;Hainmuehle;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;916625680.9;248.4799616;120.02412179999999;317.8852725;12.29109456;4.810363078;315.60757010000003;189.378006;740.1129761;0.5407723686715133;550.7349700999999;465.23403577601005;280.0967254212818;751.4504691961846;0.37274143393761816
24784259;Hanau;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Loesse und Loessderivate;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;927760580.9;220.32672709999997;153.6674509;426.6314438;10.74643336;6.240524954;296.2178322;103.97399899999999;719.2719727000001;0.44155720124977244;615.2979737000001;547.431425476771;333.6748104771736;881.1062359539446;0.37869986258344307
24762653;Harreshausen;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Agriculture;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;464816802.7;236.3441994;139.31287509999999;308.416319;13.01672833;4.85554938;214.43775359999998;119.58300020000001;602.9000244;0.43712552746756056;483.3170242;593.7268782014611;193.45758622188103;786.2225189272704;0.24605958436020942
